Time (s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Absolute acceleration (m/s^2)
2.967370625e0,1.737897102e-2,-6.809914028e-3,-1.468820572e-3,1.872327420e-2
2.977302625e0,2.992122804e-2,-1.386966862e-2,-1.179909647e-2,3.502665089e-2
2.987234625e0,1.530834634e-2,-1.876944347e-2,-1.045248270e-2,2.637976252e-2
2.997166625e0,1.752328305e-3,-8.382458724e-3,4.517558813e-3,9.682179836e-3
3.007098625e0,2.436096221e-4,-2.012868357e-2,8.560323715e-3,2.187469748e-2
3.017030625e0,8.490705304e-3,-1.861331368e-2,-2.003197610e-2,2.863263155e-2
3.026963625e0,2.482615847e-2,4.259486469e-3,-1.539221048e-2,2.951951071e-2
3.036895625e0,1.443327625e-2,-1.971520320e-2,-1.614006937e-2,2.928328089e-2
3.046827625e0,3.212224564e-2,-1.266072024e-2,-2.078041971e-2,4.029836653e-2
3.056759625e0,1.053072119e-2,-2.936816138e-2,-1.494314432e-2,3.459309980e-2
3.066691625e0,9.330077679e-3,-2.464037689e-2,-2.063190043e-2,3.346451611e-2
3.076623625e0,1.126038061e-2,-1.522602165e-2,-2.721761942e-2,3.315760416e-2
3.086555625e0,-2.022261817e-3,-1.370379956e-2,-2.452380717e-2,2.816559574e-2
3.096487625e0,1.322943276e-2,-7.094225753e-3,-3.155917704e-2,3.494749756e-2
3.106419625e0,1.979446266e-2,-1.292913484e-2,-2.901446879e-2,3.742756576e-2
3.116352625e0,-7.428384991e-4,-1.255269293e-3,-2.736789286e-2,2.740673402e-2
3.126284625e0,3.319404940e-3,-8.736407133e-3,-4.069018900e-2,4.174966754e-2
3.136216625e0,2.062308392e-4,-2.640026090e-2,-2.946178079e-2,3.956024309e-2
3.146148625e0,1.787185476e-2,-1.319546638e-2,-1.524193704e-2,2.694142109e-2
