Time_s,Bx_nT,By_nT,Bz_nT,zAut_m
36041.7,527.737944,-3.42631725,116.969056,26.3
36041.8,527.213249,-65.1881789,133.951287,26.3
36041.9,529.517089,-60.6124012,145.740822,26.3
36042.0,527.503395,-26.6466046,135.141905,26.3
36042.1,529.005182,-6.68618034,130.10353,26.3
36042.2,533.765657,1.09693513,131.16587,26.3
36042.3,531.108345,13.8492486,125.415211,26.3
36042.4,531.534957,32.7665626,113.911426,26.3
36042.5,534.719046,48.4862764,109.921852,26.3
36042.6,533.07974,56.3313651,107.353294,26.3
36042.7,523.275939,38.8608063,115.515731,26.3
36042.8,525.161637,36.2494217,124.827529,26.3
36042.9,524.420115,33.9049545,130.124561,26.3
36043.0,524.793101,53.4927097,121.838661,26.3
36043.1,529.326404,80.4152727,116.569445,26.3
36043.2,531.384372,98.4779402,104.191849,26.3
36043.3,531.378163,119.186322,96.0903807,26.3
36043.4,531.995189,113.6784,103.79158,26.3
36043.5,529.163497,101.565995,101.879842,26.3
36043.6,529.928365,100.734619,97.9862018,26.3
36043.7,538.276148,68.620354,117.139486,26.3
36043.8,541.653576,72.8088488,110.142657,26.3
36043.9,536.011693,113.715263,89.6532885,26.3
36044.0,533.834045,100.135754,96.9275701,26.3
36044.1,527.579825,104.629959,93.8575403,26.3
36044.2,536.56787,110.482237,86.2668617,26.3
36044.3,540.616384,108.421352,95.2172607,26.3
36044.4,533.789316,72.8099213,104.764202,26.3
36044.5,528.43413,63.3020411,113.945623,26.3
36044.6,527.911097,49.4861056,132.059548,26.3
36044.7,529.00486,61.5177219,120.453592,26.3
36044.8,541.00004,75.0203632,99.8780658,26.3
36044.9,529.099356,75.9336515,113.715934,26.3
36045.0,535.371424,95.8924245,100.196643,26.3
36045.1,539.042803,99.1089634,96.8341559,26.3
36045.2,531.947883,78.0644875,109.375108,26.3
36045.3,533.686473,73.0487887,105.623492,26.3
36045.4,537.430697,84.9051842,97.480068,26.3
36045.5,533.407158,59.1929424,119.821991,26.3
36045.6,532.406305,49.8594942,128.511466,26.3
36045.7,531.05147,45.0256981,133.06601,26.3
36045.8,534.028173,55.167158,132.30372,26.3
36045.9,538.570296,73.3463808,121.912431,26.3
36046.0,540.440613,81.2204338,112.641185,26.3
36046.1,544.702864,121.762604,100.188961,26.3
36046.2,543.359486,137.759743,93.3318512,26.3
36046.3,540.403734,138.37118,92.8961111,26.3
36046.4,538.60872,92.4117362,112.732675,26.3
36046.5,536.412472,79.8261138,124.24148,26.3
36046.6,534.711308,70.6061743,124.571334,26.3
36046.7,535.849046,71.7715863,127.778443,26.3
36046.8,536.283991,63.3018847,124.226318,26.3
36046.9,534.112459,55.0320885,125.239766,26.3
36047.0,537.732352,45.3576482,127.439459,26.3
36047.1,539.126521,40.7399663,125.989572,26.3
36047.2,537.777248,33.0349158,124.572098,26.3
36047.3,544.892714,35.4743868,123.0895,26.3
36047.4,543.033244,47.6254778,115.579755,26.3
36047.5,543.084307,68.7427373,104.266638,26.3
36047.6,542.990291,78.1307066,92.823115,26.3
36047.7,540.154289,75.3873886,93.6327303,26.3
36047.8,538.917488,92.3598859,77.2306817,26.3
36047.9,534.941231,112.994663,69.5678275,26.3
36048.0,536.942317,109.885649,68.0604543,26.3
36048.1,535.576464,122.229931,54.9873256,26.3
36048.2,533.359974,92.0685218,76.8393169,26.3
36048.3,529.281434,68.6326343,76.5573193,26.3
36048.4,535.717142,67.0699405,69.2975674,26.3
36048.5,535.675044,56.2189393,85.8534873,26.3
36048.6,533.018312,53.3823729,84.9547445,26.3
36048.7,536.492434,60.1662024,77.4123331,26.3
36048.8,535.140642,42.5804431,98.2063699,26.3
36048.9,529.112354,32.8538634,103.505774,26.3
36049.0,531.449934,19.5498256,103.06928,26.3
36049.1,527.915461,9.45771009,109.606664,26.3
36049.2,525.674587,0.763622701,117.863582,26.3
36049.3,532.535008,23.133845,98.8971887,26.3
36049.4,532.045093,34.9649277,98.4986649,26.3
36049.5,531.201683,34.7820827,88.5187028,26.3
36049.6,528.556264,47.4451291,81.9908318,26.3
36049.7,526.966171,37.8202612,87.0699851,26.3
36049.8,531.384919,12.8909673,92.7242182,26.3
36049.9,528.19721,-9.97057239,99.4417474,26.3
36050.0,526.245008,-36.2417213,111.040637,26.3
36050.1,520.073154,-40.190769,110.893708,26.3
36050.2,527.864871,-38.1489467,102.823907,26.3
36050.3,527.47013,-22.1043635,96.0884096,26.3
36050.4,524.587006,-34.0100242,86.5836396,26.3
36050.5,514.889872,-36.7190314,83.1249435,26.3
36050.6,511.245482,-46.4517934,98.3167202,26.3
36050.7,511.965299,-58.4003555,98.2422254,26.3
36050.8,507.673716,-83.4105546,109.32264,26.3
36050.9,505.848785,-86.5362047,107.671456,26.3
36051.0,522.941714,-71.0382379,100.364714,26.3
36051.1,536.96578,-69.4384353,95.994378,26.3
36051.2,521.836894,-87.095431,105.627074,26.3
36051.3,518.918666,-77.6736344,101.741457,26.3
36051.4,521.770076,-69.6155011,98.1876546,26.3
36051.5,531.838174,-50.0954505,101.699501,26.3
36051.6,534.545852,-42.3237898,104.738498,26.3
36051.7,531.401258,-41.7151884,95.4122553,26.3
36051.8,539.808403,-17.3504614,80.5157359,26.3
36051.9,538.290521,-16.5008243,80.315518,26.3
36052.0,528.292557,-26.5764304,88.1610009,26.3
36052.1,525.524329,-46.2232118,97.1262558,26.3
36052.2,522.626354,-48.3881395,88.2360417,26.3
36052.3,525.330286,-50.0196271,88.1037529,26.3
36052.4,526.880595,-61.4475623,98.6194182,26.3
36052.5,526.224752,-91.563088,112.361197,26.3
36052.6,531.289314,-82.3866942,103.380141,26.3
36052.7,517.701279,-77.9032804,105.812821,26.3
36052.8,513.002864,-83.7442976,116.743356,26.3
36052.9,504.127522,-89.3660715,121.91815,26.3
36053.0,517.772939,-105.841272,116.868858,26.3
36053.1,519.563369,-102.075006,131.182185,26.3
36053.2,516.985889,-83.8838242,116.314665,26.3
36053.3,521.848131,-76.9292763,110.950975,26.3
36053.4,527.605134,-78.8413187,103.159565,26.3
36053.5,522.452195,-94.5691532,104.99242,26.3
36053.6,521.836693,-115.433384,122.009492,26.3
36053.7,520.31762,-99.5919907,130.07765,26.3
36053.8,517.288558,-78.8587877,125.142671,26.3
36053.9,532.069992,-40.7886568,103.913424,26.3
36054.0,529.226821,-28.7658306,108.866191,26.3
36054.1,528.635018,-25.8380889,101.273473,26.3
36054.2,515.376557,-54.3752696,121.510965,26.3
36054.3,514.79429,-74.3194838,128.98121,26.3
36054.4,513.309382,-81.9817532,122.541892,26.3
36054.5,523.160751,-87.3540234,122.276478,26.3
36054.6,521.900533,-73.7078857,120.300032,26.3
36054.7,519.231512,-82.12921,117.923289,26.3
36054.8,517.910965,-90.9728192,121.64322,26.3
36054.9,523.288334,-91.2739344,122.99004,26.3
36055.0,528.299673,-67.7235676,120.408869,26.3
36055.1,529.646367,-54.3807723,127.228373,26.3
36055.2,530.716429,-70.9978132,126.376125,26.3
36055.3,533.615598,-65.3866127,114.367591,26.3
36055.4,529.796933,-45.1609368,116.74766,26.3
36055.5,517.486259,-41.7514153,100.704011,26.3
36055.6,517.448799,-63.4381107,101.081989,26.3
36055.7,523.912464,-70.6671531,118.908492,26.3
36055.8,525.42883,-65.5069615,119.910488,26.3
36055.9,523.943344,-52.7670023,107.917752,26.3
36056.0,526.675001,-44.0888477,102.793716,26.3
36056.1,517.662856,-55.6852534,104.771222,26.3
36056.2,519.147266,-79.2373566,108.515809,26.3
36056.3,515.791564,-85.3065203,121.659865,26.3
36056.4,509.419926,-86.8199672,124.548872,26.3
36056.5,498.199936,-87.3242123,130.767099,26.3
36056.6,505.016645,-75.0247475,130.09017,26.3
36056.7,517.922443,-45.2237233,111.925757,26.3
36056.8,526.398826,-53.7275203,112.011988,26.3
36056.9,537.483083,-49.0240738,108.840092,26.3
36057.0,532.554504,-22.2800648,103.275696,26.3
36057.1,517.591431,1.08272162,101.593737,26.3
36057.2,518.704846,-3.35839421,107.218722,26.3
36057.3,509.955361,-1.09976312,106.82014,26.3
36057.4,512.72887,30.2662305,98.5585585,26.3
36057.5,507.19932,57.1095349,86.0173483,26.3
36057.6,505.891128,72.8429307,74.7299277,26.3
36057.7,508.455747,70.077742,74.1493898,26.3
36057.8,517.96016,60.4320704,67.8764062,26.3
36057.9,522.308649,51.808306,63.5964374,26.3
36058.0,517.326799,31.6490114,82.956399,26.3
36058.1,514.903933,14.824076,97.7189984,26.3
36058.2,512.762193,10.3516174,98.4631606,26.3
36058.3,513.053593,33.9603703,91.8484784,26.3
36058.4,513.627992,44.3884918,100.256692,26.3
36058.5,514.006287,34.6954497,105.170845,26.3
36058.6,508.135516,32.3326136,102.477106,26.3
36058.7,512.335863,33.3061872,98.9759279,26.3
36058.8,524.177138,40.7394727,94.1929665,26.3
36058.9,521.195252,76.7235544,82.5258821,26.3
36059.0,522.446265,87.555143,83.6063922,26.3
36059.1,523.238163,90.8110456,79.6212613,26.3
36059.2,523.990215,97.9761177,75.9551608,26.3
36059.3,530.985762,99.238075,67.9599407,26.3
36059.4,532.498695,92.49946,61.0856062,26.3
36059.5,540.14691,88.67734,78.7859785,26.3
36059.6,550.328945,81.8045221,78.2118871,26.3
36059.7,549.456261,36.8550287,90.7481483,26.3
36059.8,541.172297,51.1157737,84.0236991,26.3
36059.9,532.897647,68.2045113,89.0378304,26.3
36060.0,526.169691,68.7368417,83.4638876,26.3
36060.1,516.28711,84.8208357,64.7772823,26.3
36060.2,527.627389,91.158102,75.5031435,26.3
36060.3,531.659655,102.755295,78.2955891,26.3
36060.4,521.941506,105.51588,62.4214263,26.3
36060.5,516.375437,90.0150163,66.9256263,26.3
36060.6,512.780592,90.2726425,78.3347423,26.3
36060.7,512.054796,87.4384794,88.9702376,26.3
36060.8,513.785642,89.304426,90.7402611,26.3
36060.9,516.833111,91.7282867,86.2894164,26.3
36061.0,519.002849,96.7282881,72.4606694,26.3
36061.1,522.638538,71.6805442,84.7256084,26.3
36061.2,514.629951,55.1439661,93.95716,26.3
36061.3,512.110405,50.9648525,95.5642903,26.3
36061.4,516.321069,36.0103918,97.3892488,26.3
36061.5,518.229389,39.4286977,94.0629472,26.3
36061.6,527.161657,46.1923739,82.4486011,26.3
36061.7,526.467999,52.7960461,77.2018376,26.3
